1, 114
2, 179
3, 107
4, 100
5, 118
6, 145
8, 101
10, 93
12, 60
14, 80
16, 85
18, 57
20, 53
22, 57
24, 38
26, 33
28, 32
30, 45
32, 31
34, 29
36, 31
38, 31
40, 28
42, 22
