10,0,0
12,0,0
14,0,0
15.9,1,3.17
18,1,3.17
20,1.3,12.17
22,1.2,9.17
24,1.8,27.17
25.9,1.3,12.17
28,1.8,9.17
29.9,1.3,12.17
32,1.6,21.17
34,2,33.17
35.9,1.2,9.17
38,1.4,15.17
40,1.6,21.17
42,1.6,21.17
